,level,level_name,field_of_study,academic_field,academic_field_imputed
115,bachelor,bachelor hons,"ba hons accounting and finance, accounting and finance",,<NA>
116,bachelor,bachelor hons,"ba hons fashion pattern cutting, fashion apparel design",,<NA>
117,bachelor,bachelor hons,ba hons history,,<NA>
118,bachelor,bachelor hons,"ba hons of business and human resource management, hrm",,<NA>
119,bachelor,bachelor hons,"ba hons, arabic and middle east studies",languages and literature,languages and literature
120,bachelor,bachelor hons,"ba hons, business studies",,<NA>
121,bachelor,bachelor hons,"ba hons, business, major in marketing",,<NA>
122,bachelor,bachelor hons,"ba hons, communication and media",,<NA>
123,bachelor,bachelor hons,"ba hons, european business",,<NA>
124,bachelor,bachelor hons,"ba hons, first class",,<NA>
125,bachelor,bachelor hons,"ba hons, graphic communication",,<NA>
126,bachelor,bachelor hons,"ba hons, human geography",human geography,human geography
127,bachelor,bachelor hons,"ba hons, media studies",media studies,media studies
128,bachelor,bachelor hons,"ba hons, politics and law",,<NA>
129,bachelor,bachelor hons,"ba hons, psychology with health studies",,<NA>
130,bachelor,bachelor hons,"ba business organisation hons, business administration and management, general",,<NA>
131,bachelor,bachelor,"ba european languages, spanish language and literature",,<NA>
132,bachelor,bachelor,"ba honours and btec diploma holder, london university of the arts london institute",,<NA>
133,bachelor,bachelor hons,"ba hons, business and law",,<NA>
134,bachelor,bachelor hons,"ba hons, graphic design",,<NA>
135,bachelor,bachelor hons,"ba hons, linguistics",,<NA>
136,bachelor,bachelor,"ba in marketing and the media, marketing marketing management, general",,<NA>
137,bachelor,bachelor,"ba media communication, currently completing",,<NA>
138,bachelor,bachelor,ba philosophy,,<NA>
139,bachelor,bachelor,"ba, asian studies",asian studies,asian studies
140,bachelor,bachelor,"ba, business economics",,<NA>
141,bachelor,bachelor,"ba, communication arts, english",,<NA>
142,bachelor,bachelor,"ba, communications, pr",,<NA>
143,bachelor,bachelor,"ba, economics",economics,economics
144,bachelor,bachelor,"ba, economics and commerce",economics,economics
145,bachelor,bachelor,"ba, economics, political science, psychology",psychology,psychology
146,bachelor,bachelor,"ba, english",languages and literature,languages and literature
147,bachelor,bachelor,"ba, english and history",languages and literature,languages and literature
148,bachelor,bachelor,"ba, english and world literature music",languages and literature,languages and literature
149,bachelor,bachelor,"ba, english language and literature letters",languages and literature,languages and literature
150,bachelor,bachelor,"ba, english literature journalism and mass media",journalism,journalism
151,bachelor,bachelor,"ba, international relations",international relations,international relations
152,bachelor,bachelor,"ba, international studies european studies",,<NA>
153,bachelor,bachelor,"ba, political science",political science,political science
154,bachelor,bachelor,"ba, social sciences business and management",,<NA>
155,bachelor,bachelor hons,ba hons in business administration,,<NA>
156,bachelor,bachelor hons,ba hons international business,,<NA>
157,bachelor,bachelor hons,"ba hons product design, industrial and product design",,<NA>
158,bachelor,bachelor hons,"ba hons, advertising design",,<NA>
159,bachelor,bachelor,"bachelor 2nd upper, communication studies",,<NA>
160,bachelor,bachelor,bachelor honours in business management with communications,business management,business management
161,bachelor,bachelor,"bachelor degree in business administration, human resource management",,<NA>
162,bachelor,bachelor,bachelor degree in businessit and management,,<NA>
163,bachelor,bachelor,bachelor degree in mass communication,,<NA>
164,bachelor,bachelor,"bachelor degree, business management and accountancy",business management,business management
165,bachelor,bachelor,"bachelor degree, business studies marketing",,<NA>
166,bachelor,bachelor,"bachelor degree, public relations image management",,<NA>
167,bachelor,bachelor,"bachelor degree graduate diploma, computer science engineering",computer science,computer science
168,bachelor,bachelor,"bachelor in arts and science, specialisation in communications studies, television production minor in political science",performing arts,performing arts
169,bachelor,bachelor,"bachelor in business administration b b a, international marketing tvu",,<NA>
170,bachelor,bachelor,"bachelor in business adminstration, business administration",business administration,business administration
171,bachelor,bachelor,"bachelor in business management, operations management analytics and strategic management",business management,business management
172,bachelor,bachelor,bachelor in communication and media studies,media studies,media studies
173,bachelor,bachelor,"bachelor in film and tv, bachelor in film and tv",,<NA>
174,bachelor,bachelor,"bachelor in graphic design, graphic design",,<NA>
175,bachelor,bachelor,bachelor in mechanical engineering,,<NA>
176,bachelor,bachelor,"bachelor in occupational safety and health with honor, safety",,<NA>
177,bachelor,bachelor,"bachelor in science honours management, marketing marketing management, general",,<NA>
178,bachelor,bachelor,"bachelor in technology, information technology",,<NA>
179,bachelor,bachelor,bachelor of accountancy and business marketing,accounting,accounting
180,bachelor,bachelor,"bachelor of accountancy with honours, accountancy",accounting,accounting
181,bachelor,bachelor,"bachelor of accountancy, 2nd major in analytics accounting",accounting,accounting
182,bachelor,bachelor,"bachelor of accountancy, accounting",accounting,accounting
183,bachelor,bachelor,"bachelor of accountancy, accounting and finance",accounting,accounting
184,bachelor,bachelor,"bachelor of agriculture, agronomy",,<NA>
185,bachelor,bachelor,"bachelor of applied engineering, civil engineering",civil engineering,civil engineering
186,bachelor,bachelor,"bachelor of applied science basc, computer and information sciences and support services",,<NA>
187,bachelor,bachelor,"bachelor of applied science b a sc, business administration and management, general",,<NA>
188,bachelor,bachelor,"bachelor of applied science b a sc, business, economics and social sciences",,<NA>
189,bachelor,bachelor,"bachelor of applied science b a sc, communication studies",,<NA>
190,bachelor,bachelor,"bachelor of applied science b a sc, computer engineering",,<NA>
191,bachelor,bachelor,"bachelor of applied science b a sc, electrical and electronics engineering",,<NA>
192,bachelor,bachelor,"bachelor of applied science basc, business, management, marketing, and related support services",,<NA>
193,bachelor,bachelor,bachelor of arts ba,,<NA>
194,bachelor,bachelor,"bachelor of arts ba honours, political science",political science,political science
195,bachelor,bachelor,"bachelor of arts ba hons, international global studies",,<NA>
196,bachelor,bachelor,"bachelor of arts ba, art history, french",,<NA>
197,bachelor,bachelor,"bachelor of arts ba, business administration and management, general",,<NA>
198,bachelor,bachelor,"bachelor of arts ba, business administration, management and operations",,<NA>
199,bachelor,bachelor,"bachelor of arts ba, business management",business management,business management
200,bachelor,bachelor,"bachelor of arts ba, business with human resource management",,<NA>
201,bachelor,bachelor,"bachelor of arts ba, communication and media studies",media studies,media studies
202,bachelor,bachelor,"bachelor of arts ba, communication and media, journalism",media studies,media studies
203,bachelor,bachelor,"bachelor of arts ba, communications and new media",media studies,media studies
204,bachelor,bachelor,"bachelor of arts ba, design and visual communications, general",languages and literature,languages and literature
205,bachelor,bachelor,"bachelor of arts ba, english language",languages and literature,languages and literature
206,bachelor,bachelor,"bachelor of arts ba, english language and literature, general",languages and literature,languages and literature
207,bachelor,bachelor,"bachelor of arts ba, english language and literature letters with an emphasis in creative writing",languages and literature,languages and literature
208,bachelor,bachelor,"bachelor of arts ba, history minor in communication studies",,<NA>
209,bachelor,bachelor,"bachelor of arts ba, international business",,<NA>
210,bachelor,bachelor,"bachelor of arts ba, international relations and affairs",,<NA>
211,bachelor,bachelor,"bachelor of arts ba, journalism",,<NA>
